Question,Answer,Answer Key,A,B,C,D,E,Source
하시라와리의 순화어로 알맞은 것은?,기둥나누기,A,기둥나누기,난간,함척,적중,길이쌓기,대한건설단체총연합회
하이고의 순화어로 알맞은 것은?,"배합(配合),
섞음푼수",C,보,"냄새막이관
트랩(trap)","배합(配合),
섞음푼수",비탈,수레,대한건설단체총연합회
하이킨의 순화어로 알맞은 것은?,배근(配筋),A,배근(配筋),경첩,정 다듬(기),자갈,"침하(沈下),
내려앉기",대한건설단체총연합회
하케누리의 순화어로 알맞은 것은?,솔칠,C,이음매,작은보,솔칠,"산뜻이, 시원스럽게, 깨끗이","양판문, 양널문",대한건설단체총연합회
하코의 순화어로 알맞은 것은?,상자,B,"가득, 한껏",상자,바탕만들기,이음매,버력,대한건설단체총연합회
하코방의 순화어로 알맞은 것은?,판자집,D,"뿜칠, 뿜어붙이기",이음매,품(삯),판자집,"윗면, 꼭대기",대한건설단체총연합회
하코자쿠의 순화어로 알맞은 것은?,함척,D,짐꾸리기,"난간, 난간끝,
난간머리",시공이음,함척,치장 콘크리트,대한건설단체총연합회
하코조의 순화어로 알맞은 것은?,함자물쇠,A,함자물쇠,차양(遮陽),"정, 강철끌",회반죽,기다림,대한건설단체총연합회
하타가쿠의 순화어로 알맞은 것은?,띠장재,D,"줄치기, 줄쳐보기",벽돌나누기,"물막이 공, 마감",띠장재,구멍철판,대한건설단체총연합회
한다의 순화어로 알맞은 것은?,납땜,B,본뜨기,납땜,잔다듬(기),체가름,본판,대한건설단체총연합회
한마이의 순화어로 알맞은 것은?,반장(쌓기),E,창대,통나무,지붕(바탕)널,"발판, 비계",반장(쌓기),대한건설단체총연합회
한바의 순화어로 알맞은 것은?,현장식당,B,벽,현장식당,문틀,"판때기, 패널","축도(築島), 임시섬",대한건설단체총연합회
헤베의 순화어로 알맞은 것은?,평방미터(㎡),C,띠철근,현장식당,평방미터(㎡),"부본(副本), 덧벌, 베낌벌",견제,대한건설단체총연합회
호네구미의 순화어로 알맞은 것은?,뼈대(골조),A,뼈대(골조),기초,흙밭,"환풍기,송풍기",재손질,대한건설단체총연합회
호로의 순화어로 알맞은 것은?,"덮개, 씌우개, 포장",A,"덮개, 씌우개, 포장","갈아내기, 갈기","판때기, 패널","묶음줄, 결속선",빈틈,대한건설단체총연합회
호리가타의 순화어로 알맞은 것은?,"터파기, 골파기",A,"터파기, 골파기",팔 푼 널,사태(沙汰),쐐기,서까래,대한건설단체총연합회
흔바시라의 순화어로 알맞은 것은?,본기둥,D,"안목, 안치수",(건설현장근로자),"터파기, 골파기",본기둥,"균열, 갈림",대한건설단체총연합회
혼타테의 순화어로 알맞은 것은?,책꽂이,D,배반,기준틀,벽,책꽂이,홈통,대한건설단체총연합회
혼아시바의 순화어로 알맞은 것은?,쌍줄비계,D,물다짐,본판,"마름질,
나무마름질",쌍줄비계,견제,대한건설단체총연합회
후키쓰케의 순화어로 알맞은 것은?,"뿜칠, 뿜어붙이기",E,나무벽돌,"견적(見積), 어림셈",미끄럼 막이,"노루발 장도리,
쇠지레","뿜칠, 뿜어붙이기",대한건설단체총연합회
후루이분세키의 순화어로 알맞은 것은?,체가름,D,정벌칠(덧칠),"가득, 한껏",큰직각자,체가름,처마높이,대한건설단체총연합회
후루이와케의 순화어로 알맞은 것은?,체질,E,"배철근, 스터럽
(stirrup)",씻은자갈,"다시하기,
고쳐하기",자갈,체질,대한건설단체총연합회
후미키리의 순화어로 알맞은 것은?,건널목,A,건널목,잠수부(潛水夫),재벌칠,통나무,본뜨기,대한건설단체총연합회
후안(팬)의 순화어로 알맞은 것은?,"환풍기,송풍기",E,칠 푼 널,"보(토목), 도리(건축)","장선(長線), 받침목","굄재(chair), 굄감","환풍기,송풍기",대한건설단체총연합회
후치이시의 순화어로 알맞은 것은?,"갓돌, 턱돌",D,땅고르기,"떨공이
(drop hammer)",두겁대,"갓돌, 턱돌",세 치 각,대한건설단체총연합회
훗고의 순화어로 알맞은 것은?,라이닝(lining),B,"무늬, 바탕",라이닝(lining),"비꼬기, 비웃음",네 치 각,"안목, 안치수",대한건설단체총연합회
훗구(훅)의 순화어로 알맞은 것은?,갈고리(hook),D,"갓돌, 턱돌",산모래,치수,갈고리(hook),반침,대한건설단체총연합회
히카에의 순화어로 알맞은 것은?,뒷길이,A,뒷길이,처마홈통,잠수부(潛水夫),"침하(沈下),
내려앉기","잡석(雜石), 막돌",대한건설단체총연합회
히사시의 순화어로 알맞은 것은?,차양(遮陽),D,"모따기, 모접기",다짐대,"바꾸기, 바꿔대기",차양(遮陽),거푸집,대한건설단체총연합회
가라의 순화어로 알맞은 것은?,"무늬, 바탕",B,메우기,"무늬, 바탕",세우기,창호 철물,누름,대한건설단체총연합회
가부시키의 순화어로 알맞은 것은?,"추렴, 주식",D,물다짐,작은각목,문틀선,"추렴, 주식",단높이,대한건설단체총연합회
간조의 순화어로 알맞은 것은?,"셈, 계산",E,깔도리,"정, 강철끌",지붕(바탕)널,누름,"셈, 계산",대한건설단체총연합회
겐세이의 순화어로 알맞은 것은?,견제,E,갈고리(hook),"짐작, 어림","미레자, 곱자,
곡척","모서리쇠, 귓쇠",견제,대한건설단체총연합회
겐토의 순화어로 알맞은 것은?,"짐작, 어림",E,흙깎기,통나무,길이쌓기,접자,"짐작, 어림",대한건설단체총연합회
고마카시의 순화어로 알맞은 것은?,"속임(수), 야바위",E,세 치 각,두 치 각,두장(쌓기),솔칠,"속임(수), 야바위",대한건설단체총연합회
곤조의 순화어로 알맞은 것은?,"심보, 본색",B,홈파기,"심보, 본색","침하(沈下),
내려앉기","네모돌, 각석, 모돌",하도급,대한건설단체총연합회
구사리의 순화어로 알맞은 것은?,"면박, 핀잔",D,다짐대,기초,선술,"면박, 핀잔",비계다리,대한건설단체총연합회
구세의 순화어로 알맞은 것은?,버릇,A,버릇,틀비계,"견적(見積), 어림셈",작은각목,무지개 거푸집,대한건설단체총연합회
구지비키의 순화어로 알맞은 것은?,"제비뽑기, 추첨",B,얼룩빼기,"제비뽑기, 추첨",나사못,걸레받이,헛간,대한건설단체총연합회
기마에의 순화어로 알맞은 것은?,"선심, 호기",B,창호 철물,"선심, 호기",강모래,"굄재(chair), 굄감","나눠내기, 각자부담, 추렴",대한건설단체총연합회
기리카에의 순화어로 알맞은 것은?,"바꾸기, 바꿔대기",D,줄기초 파기,"졸대, 나무오리",반침,"바꾸기, 바꿔대기","선심, 호기",대한건설단체총연합회
기리코미의 순화어로 알맞은 것은?,덤핑(입찰의),E,"모따기, 모접기","윤지우기, 윤끄기",꽂이 쇠,펴고르기,덤핑(입찰의),대한건설단체총연합회
기즈의 순화어로 알맞은 것은?,흠,B,"부순돌, 쇄석",흠,"채움재, 채움감",내쌓기,문바퀴,대한건설단체총연합회
다치노미의 순화어로 알맞은 것은?,선술,C,땅고르기,칠 푼 널,선술,우선지급,ㅅ(시옷) 자보,대한건설단체총연합회
마에가리의 순화어로 알맞은 것은?,우선지급,E,"속임(수), 야바위","물비빔, 물반죽",난간,"윤내기, 광내기",우선지급,대한건설단체총연합회
반카이의 순화어로 알맞은 것은?,"만회, 되돌림",B,쇠메,"만회, 되돌림",쐐기,문바퀴,온통파기,대한건설단체총연합회
분파이의 순화어로 알맞은 것은?,"분배, 나눔, 노늠",C,"석재(石材), 돌",쌍줄비계,"분배, 나눔, 노늠",수평보기,건널목,대한건설단체총연합회
쇼부의 순화어로 알맞은 것은?,"결판, 흥정",A,"결판, 흥정",발판,죌감,이어치기,버팀대,대한건설단체총연합회
신마이의 순화어로 알맞은 것은?,"풋내기, 애숭이, 신출내기",B,"반자틀, 반잣대","풋내기, 애숭이, 신출내기","속임(수), 야바위",끝마구리,철판,대한건설단체총연합회
아타리의 순화어로 알맞은 것은?,적중,D,판자집,"변통, 둘러치기",띠장재,적중,공시체(供試體),대한건설단체총연합회
앗사리의 순화어로 알맞은 것은?,"산뜻이, 시원스럽게, 깨끗이",C,멍에,문틀선,"산뜻이, 시원스럽게, 깨끗이","찰 쌓 기(토)
사춤쌓기(건)",사태(沙汰),대한건설단체총연합회
야리쿠리의 순화어로 알맞은 것은?,"변통, 둘러치기",B,상자,"변통, 둘러치기",송곳,틀송곳,천장,대한건설단체총연합회
야지의 순화어로 알맞은 것은?,야유,D,철사,"겹이음(토), 겹침",내쌓기,야유,"윤지우기, 윤끄기",대한건설단체총연합회
오모차의 순화어로 알맞은 것은?,장남감,B,"계단참, 층계참",장남감,틀비계,바탕,중도리,대한건설단체총연합회
와리칸의 순화어로 알맞은 것은?,"나눠내기, 각자부담, 추렴",C,"금형, 쇠거푸집",외쪽돋기,"나눠내기, 각자부담, 추렴","말이, 사리","울거미, 문틀",대한건설단체총연합회
우라가키의 순화어로 알맞은 것은?,"배서, 뒷보증",D,체가름,"찰흙,진흙,점토(粘土)",홈통,"배서, 뒷보증",나무틀,대한건설단체총연합회
우라키리의 순화어로 알맞은 것은?,배반,A,배반,"너비, 폭",정벌바름(덧칠),턱솔,"틀, 울거미, 테",대한건설단체총연합회
유토리의 순화어로 알맞은 것은?,여유,E,각목(角木),"받침대, 지주,
동바리",무지개 거푸집,잔다듬(기),여유,대한건설단체총연합회
잇파이의 순화어로 알맞은 것은?,"가득, 한껏",C,접자,중도리,"가득, 한껏",창선반,"바룸돌, 다듬은돌",대한건설단체총연합회
조시의 순화어로 알맞은 것은?,"상태, 가락",D,차양(遮陽),현장,함척,"상태, 가락",ㅅ(시옷) 자보,대한건설단체총연합회
히니꾸의 순화어로 알맞은 것은?,"비꼬기, 비웃음",D,"정, 끌",천장,곡괭이,"비꼬기, 비웃음","너트, 암나사",대한건설단체총연합회
히야카시의 순화어로 알맞은 것은?,"희롱, 놀림",D,두치오푼각,받침대,기준틀,"희롱, 놀림","난간, 난간끝,
난간머리",대한건설단체총연합회
히카에의 순화어로 알맞은 것은?,"부본(副本), 덧벌, 베낌벌",D,"난간, 난간끝,
난간머리","줄눈파기,사춤파기","묶음줄, 결속선","부본(副本), 덧벌, 베낌벌",흙뜨기,대한건설단체총연합회
히키코미의 순화어로 알맞은 것은?,끌어들이기,E,두 치 각,"현장배합, 현장섞기","막돌, 호박돌",바탕,끌어들이기,대한건설단체총연합회
히키코미센의 순화어로 알맞은 것은?,"끌어들임줄(선), 들줄",E,"줄눈, 사춤","거죽두께, 덮임두께",줄떼,"윤내기, 광내기","끌어들임줄(선), 들줄",대한건설단체총연합회
삼부이타의 순화어로 알맞은 것은?,삼 푼 널,A,삼 푼 널,자,강모래,"물비빔, 물반죽",굵은철선/쇠줄,대한건설단체총연합회
욘부이타의 순화어로 알맞은 것은?,사 푼 널,C,"흙쌓기, 흙돋우기","끌어들임줄(선), 들줄",사 푼 널,선홈통,"현장배합, 현장섞기",대한건설단체총연합회
고부이타의 순화어로 알맞은 것은?,오 푼 널,C,현장,돌쌓기,오 푼 널,"맞댐면, 접합면","찰 쌓 기(토)
사춤쌓기(건)",대한건설단체총연합회
로쿠부이타의 순화어로 알맞은 것은?,육 푼 널,B,비탈끝,육 푼 널,"건비빔, 건반죽","희롱, 놀림",문바퀴,대한건설단체총연합회
시치부이타의 순화어로 알맞은 것은?,칠 푼 널,A,칠 푼 널,"희롱, 놀림",우선지급,사태(沙汰),십장,대한건설단체총연합회
하치부이타의 순화어로 알맞은 것은?,팔 푼 널,A,팔 푼 널,꺾쇠,기다림,"산뜻이, 시원스럽게, 깨끗이","배철근, 스터럽
(stirrup)",대한건설단체총연합회
사부로쿠의 순화어로 알맞은 것은?,삼 육,A,삼 육,처마높이,흠,강모래,(콘크리트)치기,대한건설단체총연합회
시하치의 순화어로 알맞은 것은?,사 팔,A,사 팔,"마른비빔, 건비빔",굴뚝,"나눠내기, 각자부담, 추렴",벽돌,대한건설단체총연합회
잇슨가쿠의 순화어로 알맞은 것은?,한 치 각,C,천장,재칠,한 치 각,수레,평떼,대한건설단체총연합회
잇슨니부가쿠의 순화어로 알맞은 것은?,한치두푼각,A,한치두푼각,배반,녹막이 칠,라이닝(lining),꺾쇠,대한건설단체총연합회
잇슨고부가쿠의 순화어로 알맞은 것은?,한치오푼각,E,ㅅ(시옷) 자보,빈틈,"채움재, 채움감",버릇,한치오푼각,대한건설단체총연합회
니슨가쿠의 순화어로 알맞은 것은?,두 치 각,B,창호 철물,두 치 각,작은각목,(들)뜬돌,"마른비빔, 건비빔",대한건설단체총연합회
니슨고부가쿠의 순화어로 알맞은 것은?,두치오푼각,C,지붕보,씻어내기,두치오푼각,토분먹임,"끌어들임줄(선), 들줄",대한건설단체총연합회
산슨가쿠의 순화어로 알맞은 것은?,세 치 각,D,장남감,"윗면, 꼭대기","거친면, 채석면",세 치 각,흙밭,대한건설단체총연합회
욘슨가쿠의 순화어로 알맞은 것은?,네 치 각,D,"세로줄눈, 세로사춤","마름질,
나무마름질","거죽두께, 덮임두께",네 치 각,줄다리,대한건설단체총연합회
